Date,Price,Open,High,Low,Volume,Chg%
2018-10-12,1678.51,1680.047,1681.1599999999999,1673.422,10610,-0.39
2018-10-11,1685.029,1658.8999999999999,1686.195,1656.25,17380,1.75
2018-10-10,1656.091,1655.455,1657.0449999999998,1651.003,6580,0.28
2018-10-09,1651.533,1653.6,1657.575,1649.095,7310,0.21
2018-10-08,1648.088,1662.557,1663.617,1647.399,9960,-0.44
2018-10-05,1655.349,1648.353,1658.264,1642.205,70,0.31
2018-10-04,1650.2079999999999,1646.816,1651.692,1643.7949999999998,40,0.36
2018-10-03,1644.325,1637.1699999999998,1651.904,1637.117,190,1.34
2018-10-01,1622.542,1611.147,1624.98,1609.9279999999999,2220,0.44
2018-09-28,1615.387,1611.094,1617.56,1603.992,8850,0.41
2018-09-27,1608.868,1629.114,1629.114,1607.013,10280,-0.82
2018-09-26,1622.224,1633.672,1633.99,1621.1109999999999,9120,-0.75
2018-09-25,1634.414,1633.513,1635.792,1630.0149999999999,7690,-0.08
2018-09-24,1635.686,1622.86,1637.647,1622.86,10490,0.83
2018-09-21,1622.277,1628.743,1638.23,1614.115,15510,-0.05
2018-09-20,1623.019,1627.1,1627.1,1621.0049999999999,3970,-0.08
2018-09-19,1624.397,1633.513,1639.608,1623.6019999999999,13100,-0.53
2018-09-18,1632.983,1627.6299999999999,1639.0249999999999,1624.556,11960,0.11
2018-09-17,1631.234,1616.9769999999999,1632.3999999999999,1616.9769999999999,13770,1.07
2018-09-14,1614.009,1616.5529999999999,1624.344,1611.253,11820,-0.06
2018-09-13,1614.9099999999999,1620.528,1626.57,1613.85,6630,-0.63
2018-09-12,1625.192,1626.146,1631.287,1613.479,15880,-0.22
2018-09-11,1628.796,1624.98,1629.432,1619.627,11400,0.02
2018-09-10,1628.425,1619.097,1629.644,1617.878,11420,0.71
2018-09-07,1616.9769999999999,1624.079,1624.079,1611.465,9440,-0.18
2018-09-06,1619.945,1609.398,1626.729,1609.398,14800,0.84
2018-09-05,1606.43,1603.6209999999999,1616.182,1603.25,50,0.29
2018-09-04,1601.713,1602.614,1605.8999999999999,1598.162,170,-0.35
2018-09-03,1607.331,1593.975,1613.744,1593.286,1440,0.7
2018-08-31,1596.148,1601.8719999999998,1605.7939999999999,1592.915,5780,-0.05
2018-08-30,1596.943,1595.83,1604.257,1594.346,6310,-0.04
2018-08-29,1597.632,1588.781,1598.904,1588.781,6080,0.54
2018-08-28,1588.993,1590.7949999999998,1599.01,1587.403,6780,0.03
2018-08-27,1588.569,1586.29,1592.385,1582.739,6670,0.3
2018-08-24,1583.7459999999999,1566.1499999999999,1584.7,1566.1499999999999,9030,1.03
2018-08-23,1567.528,1572.298,1572.298,1562.97,5980,-0.17
2018-08-22,1570.231,1560.85,1575.849,1560.85,4610,0.29
2018-08-21,1565.7259999999999,1561.3799999999999,1566.945,1560.108,6270,0.36
2018-08-20,1560.055,1557.5639999999999,1561.327,1555.55,5660,0.55
2018-08-17,1551.575,1552.423,1556.875,1546.752,6000,0.0
2018-08-16,1551.575,1569.595,1569.595,1548.7659999999998,10270,-1.31
2018-08-14,1572.192,1572.245,1576.22,1567.475,4990,0.0
2018-08-13,1572.245,1576.75,1581.308,1571.132,7720,-0.14
2018-08-10,1574.418,1570.125,1576.432,1565.62,7310,0.34
2018-08-09,1569.065,1566.945,1572.245,1565.037,5580,0.21
2018-08-08,1565.8319999999999,1566.68,1570.3899999999999,1563.5,6450,0.03
2018-08-07,1565.302,1569.012,1572.404,1564.56,5980,-0.1
2018-08-06,1566.839,1571.768,1571.768,1565.514,4019,-0.8
2018-08-03,1579.3999999999999,1564.56,1584.7,1559.5249999999999,110,0.95
2018-08-02,1564.56,1565.196,1570.8139999999999,1562.281,920,0.2
2018-08-01,1561.4859999999999,1568.3229999999999,1572.51,1560.373,2140,-0.59
2018-07-31,1570.8139999999999,1575.69,1576.22,1566.733,6630,-0.39
2018-07-30,1577.0149999999999,1575.478,1578.446,1574.1,4900,-0.17
2018-07-27,1579.665,1587.8799999999999,1587.8799999999999,1573.146,7530,-0.1
2018-07-26,1581.308,1585.336,1587.456,1580.248,5770,-0.41
2018-07-25,1587.827,1582.951,1591.855,1581.2549999999999,7580,0.16
2018-07-24,1585.336,1582.58,1588.834,1578.34,7690,-0.01
2018-07-23,1585.442,1585.866,1592.279,1582.686,7100,-0.14
2018-07-20,1587.721,1578.764,1588.781,1577.651,7070,0.15
2018-07-19,1585.389,1572.5629999999999,1588.3039999999999,1570.072,8400,0.38
2018-07-18,1579.347,1589.947,1589.947,1572.5629999999999,7920,0.14
2018-07-17,1577.1209999999999,1595.406,1596.36,1576.22,9280,-1.15
2018-07-16,1595.459,1598.003,1603.144,1593.922,5560,-0.09
2018-07-13,1596.943,1598.9569999999999,1601.1299999999999,1591.855,7170,-0.15
2018-07-12,1599.2749999999999,1606.695,1606.695,1598.533,7750,-0.56
2018-07-11,1608.232,1616.606,1618.885,1607.225,6020,-0.68
2018-07-10,1619.203,1625.139,1625.9869999999999,1613.108,7520,-0.28
2018-07-09,1623.8139999999999,1622.489,1631.764,1622.489,7260,0.18
2018-07-06,1620.846,1624.45,1629.22,1620.21,4840,0.13
2018-07-05,1618.673,1621.8,1623.9199999999998,1616.235,20,0.1
2018-07-04,1617.03,1614.539,1619.1499999999999,1614.539,40,0.13
2018-07-03,1614.857,1599.805,1621.8,1595.3,190,1.05
2018-07-02,1598.109,1610.1399999999999,1611.836,1590.0,2260,-0.69
2018-06-29,1609.239,1611.412,1613.797,1605.264,5610,-0.22
2018-06-28,1612.8429999999998,1621.164,1622.012,1611.624,4320,-0.57
2018-06-27,1622.118,1614.6979999999999,1623.443,1613.055,6000,0.41
2018-06-26,1615.44,1617.136,1620.422,1607.7549999999999,6410,-0.2
2018-06-25,1618.62,1616.5,1624.344,1616.5,4980,0.14
2018-06-22,1616.394,1611.73,1619.3619999999999,1610.511,6810,0.15
2018-06-21,1613.903,1620.475,1620.475,1609.451,6940,-0.5
2018-06-20,1622.065,1626.04,1627.206,1620.74,4930,-0.32
2018-06-19,1627.206,1634.944,1637.647,1625.6689999999999,7270,-0.23
2018-06-18,1630.969,1632.347,1634.308,1628.213,4810,-0.1
2018-06-15,1632.6119999999999,1652.54,1653.335,1630.0149999999999,11170,-1.09
2018-06-14,1650.685,1641.569,1652.434,1641.569,8590,0.62
2018-06-13,1640.456,1639.608,1642.682,1638.76,3910,0.0
2018-06-12,1640.456,1643.0529999999999,1643.0529999999999,1636.269,6950,-0.27
2018-06-11,1644.855,1646.71,1647.399,1638.76,7520,-0.13
2018-06-08,1647.028,1643.5829999999999,1653.388,1640.35,8180,0.07
2018-06-07,1645.915,1633.46,1646.975,1631.817,8210,0.98
2018-06-06,1630.0149999999999,1636.4279999999999,1638.389,1628.1599999999999,6330,0.18
2018-06-05,1627.047,1625.6689999999999,1639.555,1624.768,80,-0.03
2018-06-04,1627.524,1624.45,1633.036,1620.74,340,0.46
2018-06-01,1620.104,1632.1879999999999,1634.4669999999999,1614.274,2070,-1.02
2018-05-31,1636.7459999999999,1645.6499999999999,1649.36,1634.3609999999999,6070,-0.48
2018-05-30,1644.59,1649.36,1649.519,1639.661,9140,-0.49
2018-05-29,1652.752,1644.06,1659.96,1644.06,12380,0.69
2018-05-28,1641.463,1650.95,1650.95,1636.905,6810,-0.71
2018-05-25,1653.282,1662.61,1665.6309999999999,1652.116,10050,-0.85
2018-05-24,1667.433,1655.773,1668.758,1655.455,11060,0.88
2018-05-23,1652.858,1649.413,1662.557,1648.459,11980,0.24
2018-05-22,1648.883,1644.325,1652.1689999999999,1643.2649999999999,7330,-0.01
2018-05-21,1649.042,1644.855,1650.367,1639.0249999999999,8029,0.07
2018-05-18,1647.9289999999999,1641.463,1649.095,1640.35,7380,0.35
2018-05-17,1642.258,1643.0529999999999,1643.0529999999999,1635.156,8540,-0.07
2018-05-16,1643.3709999999999,1652.0629999999999,1652.0629999999999,1639.873,10730,-0.57
2018-05-15,1652.858,1665.5249999999999,1669.447,1652.116,14510,-0.98
2018-05-14,1669.288,1666.85,1671.8319999999999,1663.1399999999999,7900,-0.01
2018-05-11,1669.5,1661.02,1671.885,1661.02,8840,0.47
2018-05-10,1661.656,1660.914,1667.9099999999999,1655.243,10730,0.16
2018-05-09,1659.059,1654.607,1662.292,1651.268,9930,0.33
2018-05-08,1653.6,1654.6599999999999,1655.614,1646.975,8690,-0.15
2018-05-07,1656.091,1649.625,1658.8999999999999,1649.625,6160,0.58
2018-05-04,1646.604,1638.071,1651.162,1638.071,130,0.21
